date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:13:09	2064/2064	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2014%20Jun%202020%2004:13:40%20GMT	https://www.httrack.com/html/fade.gif	C:/Users/wahid/Downloads/Programs/rtrtr/www.httrack.com/html/fade.gif	(from https://www.httrack.com/html/index.html)
21:13:09	2000/2000	---M--	200	added ('OK')	image/gif	etag:%227d0-3bd637ac0ce40%22	https://www.httrack.com/html/images/header_title_4.gif	C:/Users/wahid/Downloads/Programs/rtrtr/www.httrack.com/html/images/header_title_4.gif	(from https://www.httrack.com/html/index.html)
21:13:10	5518/5518	---M-Z	200	added ('OK')	text/html	etag:%22158e-42700ec225980-gzip%22	https://www.httrack.com/html/overview.html	C:/Users/wahid/Downloads/Programs/rtrtr/www.httrack.com/html/overview.html	(from https://www.httrack.com/html/index.html)
21:13:10	5429/5429	---M-Z	200	added ('OK')	text/html	etag:%221535-42700ec319bc0-gzip%22	https://www.httrack.com/html/shelldoc.html	C:/Users/wahid/Downloads/Programs/rtrtr/www.httrack.com/html/shelldoc.html	(from https://www.httrack.com/html/index.html)
21:13:10	5992/5992	---M-Z	200	added ('OK')	text/html	etag:%221768-42700ebf492c0-gzip%22	https://www.httrack.com/html/dev.html	C:/Users/wahid/Downloads/Programs/rtrtr/www.httrack.com/html/dev.html	(from https://www.httrack.com/html/index.html)
21:13:10	105313/105313	---M-Z	200	added ('OK')	text/html	etag:%2219b61-49d86e5a7cac0-gzip%22	https://www.httrack.com/html/fcguide.html	C:/Users/wahid/Downloads/Programs/rtrtr/www.httrack.com/html/fcguide.html	(from https://www.httrack.com/html/index.html)
21:13:10	21071/21071	---M-Z	200	added ('OK')	text/html	etag:%22524f-42700ebe55080-gzip%22	https://www.httrack.com/html/abuse.html	C:/Users/wahid/Downloads/Programs/rtrtr/www.httrack.com/html/abuse.html	(from https://www.httrack.com/html/index.html)
21:13:11	1683/1683	---M-Z	200	added ('OK')	text/plain	etag:%22693-4beff12110ec1-gzip%22	https://www.httrack.com/license.txt	C:/Users/wahid/Downloads/Programs/rtrtr/www.httrack.com/license.txt	(from https://www.httrack.com/html/index.html)
21:13:11	9216/9216	---M-Z	200	added ('OK')	text/html	etag:%222400-42700ebf492c0-gzip%22	https://www.httrack.com/html/contact.html	C:/Users/wahid/Downloads/Programs/rtrtr/www.httrack.com/html/contact.html	(from https://www.httrack.com/html/index.html)
21:13:11	39512/39512	---M-Z	200	added ('OK')	text/plain	etag:%229a58-54ff0ab256f6d-gzip%22	https://www.httrack.com/history.txt	C:/Users/wahid/Downloads/Programs/rtrtr/www.httrack.com/history.txt	(from https://www.httrack.com/html/index.html)
